student_id,age,gender,year_of_study,event_name,rating,feedback_text,feedback_clean,tb_polarity,vader_compound,sentiment,polarity,subjectivity,Sentiment
S1000,23,Male,3rd Year,Workshop,3,"Loved the performances, very entertaining.",loved the performances very entertaining,0.675,0.796,Positive,0.675,0.855,Positive
S1001,18,Female,4th Year,Tech Fest,1,"Not worth the time, very boring.",not worth the time very boring,-0.575,-0.5038,Negative,-0.575,0.55,Negative
S1002,18,Other,4th Year,Cultural Night,4,"Not worth the time, very boring.",not worth the time very boring,-0.575,-0.5038,Negative,-0.575,0.55,Negative
S1003,23,Male,4th Year,Sports Day,1,Great organization and fun activities!,great organization and fun activities,0.55,0.8126,Positive,0.5875,0.475,Positive
S1004,20,Male,2nd Year,Seminar,2,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
S1005,19,Other,4th Year,Cultural Night,2,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1006,19,Other,2nd Year,Workshop,4,"Amazing event, really enjoyed it!",amazing event really enjoyed it,0.55,0.8122,Positive,0.6125,0.8,Positive
S1007,19,Male,1st Year,Tech Fest,5,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1008,23,Male,3rd Year,Seminar,3,"Amazing event, really enjoyed it!",amazing event really enjoyed it,0.55,0.8122,Positive,0.6125,0.8,Positive
S1009,18,Male,3rd Year,Cultural Night,1,"Informative and useful, I learned a lot.",informative and useful i learned a lot,0.3,0.4404,Positive,0.3,0.0,Positive
S1010,23,Male,1st Year,Cultural Night,4,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
S1011,23,Female,2nd Year,Sports Day,1,Great organization and fun activities!,great organization and fun activities,0.55,0.8126,Positive,0.5875,0.475,Positive
S1012,22,Female,3rd Year,Cultural Night,3,"Excellent event, hope to see more like this!",excellent event hope to see more like this,0.75,0.8553,Positive,0.8125,0.75,Positive
S1013,18,Female,2nd Year,Tech Fest,5,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1014,22,Male,2nd Year,Tech Fest,1,"Excellent event, hope to see more like this!",excellent event hope to see more like this,0.75,0.8553,Positive,0.8125,0.75,Positive
S1015,21,Female,2nd Year,Cultural Night,4,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1016,18,Male,1st Year,Sports Day,3,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1017,18,Male,1st Year,Seminar,3,The event was poorly managed.,the event was poorly managed,-0.4,0.0,Neutral,-0.4,0.6,Negative
S1018,18,Female,2nd Year,Seminar,5,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
S1019,19,Male,4th Year,Sports Day,4,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1020,19,Female,1st Year,Workshop,3,"Amazing event, really enjoyed it!",amazing event really enjoyed it,0.55,0.8122,Positive,0.6125,0.8,Positive
S1021,22,Female,4th Year,Tech Fest,1,Great organization and fun activities!,great organization and fun activities,0.55,0.8126,Positive,0.5875,0.475,Positive
S1022,22,Female,4th Year,Workshop,2,"The food was not good, needs improvement.",the food was not good needs improvement,-0.35,-0.5975,Negative,-0.35,0.6000000000000001,Negative
S1023,18,Female,2nd Year,Sports Day,4,"Excellent event, hope to see more like this!",excellent event hope to see more like this,0.75,0.8553,Positive,0.8125,0.75,Positive
S1024,22,Female,4th Year,Workshop,1,"Informative and useful, I learned a lot.",informative and useful i learned a lot,0.3,0.4404,Positive,0.3,0.0,Positive
S1025,19,Other,4th Year,Sports Day,5,Great organization and fun activities!,great organization and fun activities,0.55,0.8126,Positive,0.5875,0.475,Positive
S1026,23,Other,4th Year,Seminar,5,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
S1027,23,Other,2nd Year,Seminar,3,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1028,23,Other,2nd Year,Workshop,5,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
S1029,22,Other,1st Year,Workshop,2,"Loved the performances, very entertaining.",loved the performances very entertaining,0.675,0.796,Positive,0.675,0.855,Positive
S1030,21,Female,1st Year,Tech Fest,1,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1031,19,Male,4th Year,Seminar,4,"Excellent event, hope to see more like this!",excellent event hope to see more like this,0.75,0.8553,Positive,0.8125,0.75,Positive
S1032,21,Male,2nd Year,Tech Fest,3,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1033,22,Female,2nd Year,Workshop,4,"Not worth the time, very boring.",not worth the time very boring,-0.575,-0.5038,Negative,-0.575,0.55,Negative
S1034,20,Male,4th Year,Sports Day,1,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
S1035,18,Male,1st Year,Seminar,2,"Too crowded, difficult to enjoy.",too crowded difficult to enjoy,-0.04999999999999999,0.1779,Positive,-0.04999999999999999,0.75,Neutral
S1036,19,Other,2nd Year,Sports Day,1,The event was poorly managed.,the event was poorly managed,-0.4,0.0,Neutral,-0.4,0.6,Negative
S1037,23,Other,1st Year,Tech Fest,1,Great organization and fun activities!,great organization and fun activities,0.55,0.8126,Positive,0.5875,0.475,Positive
S1038,21,Other,4th Year,Tech Fest,3,"Loved the performances, very entertaining.",loved the performances very entertaining,0.675,0.796,Positive,0.675,0.855,Positive
S1039,20,Male,2nd Year,Cultural Night,4,Great organization and fun activities!,great organization and fun activities,0.55,0.8126,Positive,0.5875,0.475,Positive
S1040,20,Other,4th Year,Seminar,1,"The food was not good, needs improvement.",the food was not good needs improvement,-0.35,-0.5975,Negative,-0.35,0.6000000000000001,Negative
S1041,19,Female,3rd Year,Seminar,1,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
S1042,19,Male,4th Year,Tech Fest,2,"Not worth the time, very boring.",not worth the time very boring,-0.575,-0.5038,Negative,-0.575,0.55,Negative
S1043,20,Male,4th Year,Sports Day,5,"It was okay, could have been better.",it was okay could have been better,0.5,0.5859,Positive,0.5,0.5,Positive
