student_id,age,gender,year_of_study,event_name,rating,feedback_text
S1000,23,Male,3rd Year,Workshop,3,"Loved the performances, very entertaining."
S1001,18,Female,4th Year,Tech Fest,1,"Not worth the time, very boring."
S1002,18,Other,4th Year,Cultural Night,4,"Not worth the time, very boring."
S1003,23,Male,4th Year,Sports Day,1,Great organization and fun activities!
S1004,20,Male,2nd Year,Seminar,2,"It was okay, could have been better."
S1005,19,Other,4th Year,Cultural Night,2,"Too crowded, difficult to enjoy."
S1006,19,Other,2nd Year,Workshop,4,"Amazing event, really enjoyed it!"
S1007,19,Male,1st Year,Tech Fest,5,"Too crowded, difficult to enjoy."
S1008,23,Male,3rd Year,Seminar,3,"Amazing event, really enjoyed it!"
S1009,18,Male,3rd Year,Cultural Night,1,"Informative and useful, I learned a lot."
S1010,23,Male,1st Year,Cultural Night,4,"It was okay, could have been better."
S1011,23,Female,2nd Year,Sports Day,1,Great organization and fun activities!
S1012,22,Female,3rd Year,Cultural Night,3,"Excellent event, hope to see more like this!"
S1013,18,Female,2nd Year,Tech Fest,5,"Too crowded, difficult to enjoy."
S1014,22,Male,2nd Year,Tech Fest,1,"Excellent event, hope to see more like this!"
S1015,21,Female,2nd Year,Cultural Night,4,"Too crowded, difficult to enjoy."
S1016,18,Male,1st Year,Sports Day,3,"Too crowded, difficult to enjoy."
S1017,18,Male,1st Year,Seminar,3,The event was poorly managed.
S1018,18,Female,2nd Year,Seminar,5,"It was okay, could have been better."
S1019,19,Male,4th Year,Sports Day,4,"Too crowded, difficult to enjoy."
S1020,19,Female,1st Year,Workshop,3,"Amazing event, really enjoyed it!"
S1021,22,Female,4th Year,Tech Fest,1,Great organization and fun activities!
S1022,22,Female,4th Year,Workshop,2,"The food was not good, needs improvement."
S1023,18,Female,2nd Year,Sports Day,4,"Excellent event, hope to see more like this!"
S1024,22,Female,4th Year,Workshop,1,"Informative and useful, I learned a lot."
S1025,19,Other,4th Year,Sports Day,5,Great organization and fun activities!
S1026,23,Other,4th Year,Seminar,5,"It was okay, could have been better."
S1027,23,Other,2nd Year,Seminar,3,"Too crowded, difficult to enjoy."
S1028,23,Other,2nd Year,Workshop,5,"It was okay, could have been better."
S1029,22,Other,1st Year,Workshop,2,"Loved the performances, very entertaining."
S1030,21,Female,1st Year,Tech Fest,1,"Too crowded, difficult to enjoy."
S1031,19,Male,4th Year,Seminar,4,"Excellent event, hope to see more like this!"
S1032,21,Male,2nd Year,Tech Fest,3,"Too crowded, difficult to enjoy."
S1033,22,Female,2nd Year,Workshop,4,"Not worth the time, very boring."
S1034,20,Male,4th Year,Sports Day,1,"It was okay, could have been better."
S1035,18,Male,1st Year,Seminar,2,"Too crowded, difficult to enjoy."
S1036,19,Other,2nd Year,Sports Day,1,The event was poorly managed.
S1037,23,Other,1st Year,Tech Fest,1,Great organization and fun activities!
S1038,21,Other,4th Year,Tech Fest,3,"Loved the performances, very entertaining."
S1039,20,Male,2nd Year,Cultural Night,4,Great organization and fun activities!
S1040,20,Other,4th Year,Seminar,1,"The food was not good, needs improvement."
S1041,19,Female,3rd Year,Seminar,1,"It was okay, could have been better."
S1042,19,Male,4th Year,Tech Fest,2,"Not worth the time, very boring."
S1043,20,Male,4th Year,Sports Day,5,"It was okay, could have been better."
S1044,18,Other,4th Year,Seminar,2,"Not worth the time, very boring."
S1045,18,Female,2nd Year,Tech Fest,4,"Not worth the time, very boring."
S1046,21,Other,4th Year,Cultural Night,4,"Loved the performances, very entertaining."
S1047,18,Other,4th Year,Workshop,3,Great organization and fun activities!
S1048,20,Male,3rd Year,Seminar,5,Great organization and fun activities!
S1049,20,Male,2nd Year,Workshop,4,"The food was not good, needs improvement."
S1050,22,Other,3rd Year,Sports Day,5,"Loved the performances, very entertaining."
S1051,20,Male,4th Year,Cultural Night,2,"It was okay, could have been better."
S1052,18,Male,2nd Year,Seminar,4,"The food was not good, needs improvement."
S1053,23,Male,3rd Year,Workshop,1,The event was poorly managed.
S1054,21,Other,4th Year,Workshop,4,"Loved the performances, very entertaining."
S1055,22,Male,1st Year,Tech Fest,5,"The food was not good, needs improvement."
